Time,Open,High,Low,Last,,
6/24/21 9:30,424.89,425.29,424.72,424.92,,
6/23/21 15:30,423.70,423.73,422.51,422.72,,
6/23/21 15:00,423.37,423.82,423.19,423.71,,
6/23/21 14:30,423.25,423.44,423.18,423.37,,
6/23/21 14:00,423.56,423.57,423.22,423.25,,
6/23/21 13:30,423.54,423.60,423.37,423.56,,
6/23/21 13:00,423.16,423.59,423.07,423.54,,
6/23/21 12:30,423.39,423.39,422.69,423.15,,
6/23/21 12:00,423.29,423.46,423.20,423.39,,
6/23/21 11:30,423.22,423.37,422.92,423.30,,
6/23/21 11:00,423.58,423.71,422.93,423.21,,
6/23/21 10:30,423.67,423.71,423.26,423.58,,
6/23/21 10:00,423.64,424.05,423.28,423.66,,
6/23/21 9:30,423.19,423.80,423.05,423.64,,
6/22/21 15:30,423.82,423.96,422.99,423.13,,
6/22/21 15:00,422.93,424.00,422.91,423.82,,
6/22/21 14:30,422.48,423.02,422.43,422.92,,
6/22/21 14:00,422.41,422.63,422.23,422.48,,
6/22/21 13:30,422.42,422.48,422.33,422.41,,
6/22/21 13:00,422.28,422.54,422.13,422.41,,
6/22/21 12:30,422.45,422.47,422.18,422.30,,
6/22/21 12:00,422.05,422.48,422.05,422.46,,
6/22/21 11:30,422.45,422.55,421.98,422.03,,
6/22/21 11:00,421.88,422.63,421.76,422.43,,
6/22/21 10:30,421.27,421.89,421.21,421.87,,
6/22/21 10:00,420.42,421.38,420.08,421.25,,
6/22/21 9:30,420.85,421.14,420.16,420.40,,
6/21/21 15:30,420.64,421.06,420.34,420.74,,
6/21/21 15:00,420.64,420.95,420.32,420.64,,
6/21/21 14:30,420.58,420.76,420.36,420.64,,
6/21/21 14:00,420.75,420.91,420.49,420.59,,
6/21/21 13:30,420.14,420.99,420.14,420.75,,
6/21/21 13:00,419.89,420.21,419.80,420.13,,
6/21/21 12:30,420.02,420.19,419.86,419.89,,
6/21/21 12:00,420.19,420.34,419.83,420.01,,
6/21/21 11:30,419.87,420.39,419.82,420.18,,
6/21/21 11:00,420.03,420.17,419.67,419.86,,
6/21/21 10:30,419.08,420.26,419.07,420.03,,
6/21/21 10:00,417.88,419.21,417.81,419.09,,
6/21/21 9:30,416.80,418.03,415.93,417.86,,
6/18/21 15:30,416.55,416.94,414.70,414.90,,
6/18/21 15:00,415.87,416.94,415.61,416.55,,
6/18/21 14:30,416.80,416.88,415.72,415.87,,
6/18/21 14:00,416.63,417.13,416.37,416.80,,
6/18/21 13:30,416.49,416.96,416.07,416.64,,
6/18/21 13:00,416.71,417.24,416.46,416.48,,
6/18/21 12:30,417.25,417.27,416.31,416.72,,
6/18/21 12:00,416.75,417.26,416.41,417.26,,
6/18/21 11:30,415.65,416.90,415.59,416.77,,
6/18/21 11:00,416.19,416.55,415.61,415.66,,
6/18/21 10:30,416.66,417.21,415.85,416.20,,
6/18/21 10:00,417.22,417.46,416.11,416.66,,
6/18/21 9:30,417.09,417.83,416.28,417.23,,
6/17/21 15:30,422.58,423.02,421.82,421.96,,
6/17/21 15:00,421.82,422.74,421.58,422.59,,
6/17/21 14:30,422.24,422.27,421.64,421.81,,
6/17/21 14:00,422.18,422.36,421.86,422.22,,
6/17/21 13:30,422.25,422.62,421.93,422.19,,
6/17/21 13:00,421.12,422.26,421.07,422.25,,
6/17/21 12:30,419.66,421.12,419.32,421.12,,
6/17/21 12:00,421.29,421.42,419.39,419.66,,
6/17/21 11:30,422.06,422.62,421.17,421.28,,
6/17/21 11:00,421.88,422.12,421.27,422.05,,
6/17/21 10:30,422.02,422.93,421.70,421.89,,
6/17/21 10:00,421.84,422.29,421.10,422.00,,
6/17/21 9:30,421.67,422.90,421.60,421.84,,
6/16/21 15:30,422.93,423.58,421.93,422.26,,
6/16/21 15:00,421.67,423.59,421.41,422.93,,
6/16/21 14:30,421.55,421.89,419.94,421.66,,
6/16/21 14:00,423.13,423.13,419.92,421.55,,
6/16/21 13:30,423.10,423.48,422.60,423.14,,
6/16/21 13:00,423.52,423.62,423.00,423.11,,
6/16/21 12:30,423.52,423.65,423.23,423.51,,
6/16/21 12:00,424.24,424.34,423.27,423.52,,
6/16/21 11:30,424.50,424.52,424.20,424.23,,
6/16/21 11:00,424.21,424.57,424.11,424.51,,
6/16/21 10:30,424.28,424.36,424.05,424.22,,
6/16/21 10:00,424.30,424.58,424.18,424.29,,
6/16/21 9:30,424.63,424.87,424.13,424.31,,
6/15/21 15:30,424.44,424.98,424.03,424.59,,
6/15/21 15:00,424.76,424.79,424.28,424.44,,
6/15/21 14:30,424.62,425.00,424.45,424.76,,
6/15/21 14:00,424.65,425.01,424.42,424.62,,
6/15/21 13:30,424.11,424.74,424.06,424.65,,
6/15/21 13:00,424.23,424.36,423.93,424.11,,
6/15/21 12:30,424.41,424.49,424.03,424.22,,
6/15/21 12:00,423.93,424.45,423.92,424.41,,
6/15/21 11:30,424.14,424.14,423.54,423.93,,
6/15/21 11:00,424.04,424.35,423.90,424.13,,
6/15/21 10:30,424.37,424.48,424.01,424.05,,
6/15/21 10:00,424.70,424.79,424.25,424.37,,
6/15/21 9:30,425.42,425.46,424.56,424.70,,
6/14/21 15:30,423.73,425.37,423.69,425.30,,
6/14/21 15:00,423.54,423.74,423.42,423.73,,
6/14/21 14:30,423.19,423.60,423.16,423.54,,
6/14/21 14:00,423.33,423.40,423.18,423.19,,
6/14/21 13:30,423.39,423.52,423.25,423.33,,
6/14/21 13:00,423.17,423.41,423.10,423.40,,
6/14/21 12:30,423.40,423.40,423.11,423.17,,
6/14/21 12:00,423.42,423.60,423.33,423.40,,
6/14/21 11:30,423.50,423.55,423.22,423.42,,
6/14/21 11:00,423.74,423.99,423.39,423.50,,
6/14/21 10:30,423.54,423.79,423.23,423.74,,
6/14/21 10:00,423.93,424.01,423.35,423.54,,
6/14/21 9:30,424.43,424.45,423.69,423.93,,
6/11/21 15:30,423.55,424.43,423.41,424.36,,
6/11/21 15:00,423.78,423.79,423.47,423.55,,
6/11/21 14:30,423.75,423.85,423.57,423.77,,
6/11/21 14:00,423.49,423.77,423.49,423.75,,
6/11/21 13:30,423.25,423.54,423.23,423.48,,
6/11/21 13:00,423.18,423.31,423.02,423.24,,
6/11/21 12:30,423.00,423.23,422.82,423.19,,
6/11/21 12:00,423.36,423.46,422.97,423.01,,
6/11/21 11:30,423.53,423.62,423.26,423.36,,
6/11/21 11:00,423.35,423.53,423.03,423.52,,
6/11/21 10:30,423.66,423.69,423.22,423.37,,
6/11/21 10:00,423.97,424.26,423.44,423.65,,
6/11/21 9:30,424.20,424.42,423.79,423.98,,
6/10/21 15:30,423.49,423.73,423.17,423.67,,
6/10/21 15:00,423.79,423.83,423.35,423.50,,
6/10/21 14:30,423.68,423.85,423.38,423.80,,
6/10/21 14:00,424.08,424.10,423.64,423.67,,
6/10/21 13:30,423.75,424.09,423.53,424.08,,
6/10/21 13:00,423.90,424.05,423.69,423.74,,
6/10/21 12:30,423.27,423.92,423.27,423.91,,
6/10/21 12:00,423.47,423.60,423.10,423.26,,
6/10/21 11:30,423.21,423.52,422.87,423.46,,
6/10/21 11:00,422.46,423.24,422.13,423.20,,
6/10/21 10:30,423.76,423.90,421.55,422.47,,
