Date,Time,Open,High,Low,Close
3/2,12:20,388.43,388.48,388.31,388.351
3/2,12:15,387.98,388.59,387.975,388.43
3/2,12:10,387.99,388.15,387.82,387.97
3/2,12:05,387.99,388.21,387.73,388.005
3/2,12:00,387.52,388,387.21,388
3/2,11:55,387.74,387.74,387.4311,387.52
3/2,11:50,387.53,387.75,387.24,387.73
3/2,11:45,387.1299,387.61,386.8611,387.5475
3/2,11:40,387.17,387.17,386,387.12
3/2,11:35,387.11,387.34,386.94,387.17
3/2,11:30,388,388.02,386.95,387.1
3/2,11:25,387.085,388.05,386.95,388
3/2,11:20,387.5209,387.7,386.95,387.083
3/2,11:15,387.78,387.82,387.07,387.535
3/2,11:10,388.21,388.26,387.66,387.8
3/2,11:05,387.95,388.39,387.9,388.21
3/2,11:00,388.13,388.23,387.21,387.955
3/2,10:55,388.27,388.43,388.13,388.17
3/2,10:50,388.1799,388.27,387.94,388.265
3/2,10:45,387.55,388.21,387.08,388.19
3/2,10:40,387.375,387.66,387.25,387.56
3/2,10:35,388.03,388.22,387.31,387.38
3/2,10:30,387.54,388.28,387.4925,388.0319
3/2,10:25,388.667,388.84,387.53,387.55
3/2,10:20,389.12,389.46,388.62,388.66
3/2,10:15,388.82,389.61,388.71,389.15
3/2,10:10,389.605,389.72,388.6,388.83
3/2,10:05,389.395,389.65,389.12,389.6
3/2,10:00,389.31,389.58,389.0989,389.4
3/2,9:55,389.01,389.74,388.88,389.3
3/2,9:50,388.34,389.02,388.2,389.0011
3/2,9:45,389.07,389.31,388.25,388.35
3/2,9:40,389.2605,389.42,388.74,389.07
3/2,9:35,389.44,389.56,389.13,389.28
3/2,9:30,389.82,390.07,389.15,389.44
3/1,15:55,389.63,389.85,389,389.67
3/1,15:50,389.33,389.69,389.1,389.62
3/1,15:45,389.71,389.85,389.32,389.37
3/1,15:40,389.62,390,389.595,389.74
3/1,15:35,390.125,390.2,389.58,389.63
3/1,15:30,390.34,390.49,390.02,390.13
3/1,15:25,390.4,390.42,390.15,390.25
3/1,15:20,390.24,390.49,390.235,390.42
3/1,15:15,390.36,390.405,389.98,390.24
3/1,15:10,390.475,390.54,390.32,390.36
3/1,15:05,390.605,390.61,390.34,390.52
3/1,15:00,390.53,390.73,390.52,390.6
3/1,14:55,390.895,390.9,390.51,390.52
3/1,14:50,390.67,390.92,390.66,390.89
3/1,14:45,390.81,390.84,390.56,390.65
3/1,14:40,390.48,390.84,390.455,390.79
3/1,14:35,390.41,390.57,390.41,390.47
3/1,14:30,390.42,390.49,390.29,390.42
3/1,14:25,390.28,390.42,390.25,390.31
3/1,14:20,390.285,390.45,390.22,390.29
3/1,14:15,390.357,390.415,390.22,390.28
3/1,14:10,390.16,390.48,390.07,390.4
3/1,14:05,389.821,390.375,389.72,390.06
3/1,14:00,389.5119,389.85,389.4011,389.82
3/1,13:55,389.46,389.57,389.425,389.51
3/1,13:50,389.5219,389.63,389.37,389.52
3/1,13:45,389.62,389.6599,389.33,389.55
3/1,13:40,389.4481,389.675,389.4481,389.65
3/1,13:35,389.2981,389.47,389.22,389.445
3/1,13:30,389.02,389.33,389.01,389.27
3/1,13:25,388.855,389.06,388.84,389.02
3/1,13:20,388.51,388.91,388.45,388.88
3/1,13:15,388.425,388.54,388.25,388.51
3/1,13:10,388.72,388.81,388.36,388.48
3/1,13:05,388.855,388.9999,388.71,388.85
3/1,13:00,388.93,389.019,388.635,388.83
3/1,12:55,389.31,389.325,388.76,388.89
3/1,12:50,389.64,389.68,389.275,389.38
3/1,12:45,389.4,389.65,389.3,389.57
3/1,12:40,389.32,389.4,389.08,389.38
3/1,12:35,389.5081,389.57,389.29,389.45
3/1,12:30,389.3399,389.5289,389.28,389.51
3/1,12:25,389.423,389.48,389.32,389.36
3/1,12:20,389.09,389.44,380.572,389.43
3/1,12:15,389.46,389.47,389.01,389.14
3/1,12:10,389.5519,389.63,389.43,389.465
3/1,12:05,389.43,389.65,389.41,389.555
3/1,12:00,389.38,389.68,389.35,389.45
3/1,11:55,389.3293,389.5,389.17,389.37
3/1,11:50,389.275,389.37,389.18,389.33
3/1,11:45,389.42,389.42,389.16,389.265
3/1,11:40,388.96,389.43,388.89,389.34
3/1,11:35,388.92,389.21,388.86,388.95
3/1,11:30,388.81,388.99,388.72,388.96
3/1,11:25,389.175,389.27,388.7,388.82
3/1,11:20,389.4,389.4099,389.17,389.18
3/1,11:15,389.14,389.395,389.07,389.32
3/1,11:10,388.9619,389.25,388.9,389.13
3/1,11:05,388.59,388.97,388.4,388.9601
3/1,11:00,388.99,389.09,388.56,388.61
3/1,10:55,388.9,389.14,388.83,389
3/1,10:50,388.8241,388.96,388.76,388.9081
3/1,10:45,388.78,388.86,388.46,388.8
3/1,10:40,388.64,388.82,388.51,388.58
3/1,10:35,388.31,388.67,388.21,388.64
3/1,10:30,388.025,388.48,387.93,388.32
3/1,10:25,388.2,388.23,387.92,388.05
3/1,10:20,388.16,388.4,387.22,388.29
3/1,10:15,387.2589,388.17,387.255,388.14
3/1,10:10,387.19,387.43,386.9501,387.15
3/1,10:05,387.33,387.61,386.84,387.1919
3/1,10:00,386.94,387.58,385.65,387.46
3/1,9:55,386.64,387.04,386.64,386.93
3/1,9:50,386.33,386.8,386.01,386.745
3/1,9:45,386.53,386.91,386.25,386.33
3/1,9:40,385.92,386.63,385.91,386.595
3/1,9:35,386.39,386.56,385.57,385.945
3/1,9:30,385.59,386.43,385.54,386.26
2/26,15:55,382.16,382.57,379.72,380.01
2/26,15:50,384.59,384.605,382.1,382.15
2/26,15:45,383.25,384.81,383.25,384.6
2/26,15:40,382.51,383.54,382.3,383.25
2/26,15:35,382.52,382.75,382.22,382.515
2/26,15:30,382.52,382.73,382.32,382.55
2/26,15:25,383.23,383.2499,382.47,382.523
2/26,15:20,384.055,384.24,383.2,383.24
2/26,15:15,383.74,384.29,383.74,384.06
2/26,15:10,384.2701,384.41,383.65,383.75
2/26,15:05,383.77,384.38,383.48,384.28
2/26,15:00,382.94,383.85,382.91,383.765
2/26,14:55,382.94,383.21,382.69,382.95
2/26,14:50,383.11,383.27,382.68,382.955
2/26,14:45,382.18,383.17,382.18,383.12
2/26,14:40,382.56,382.68,381.88,382.18
2/26,14:35,382.57,382.78,382.36,382.58
2/26,14:30,381.815,382.6,381.47,382.56
2/26,14:25,381.37,381.99,381.33,381.815
2/26,14:20,381.23,381.85,381.02,381.37
2/26,14:15,382.105,382.5,381.13,381.21
2/26,14:10,381.977,382.29,381.67,382.11
2/26,14:05,381.85,382.28,381.54,381.985
2/26,14:00,382.1905,382.89,381.79,381.86
2/26,13:55,382.03,382.8,381.91,382.19
2/26,13:50,382.45,382.54,381.9,382.03
2/26,13:45,383.51,383.97,382.02,382.46
2/26,13:40,383.18,383.56,382.95,383.52
2/26,13:35,383.73,383.79,383.02,383.18
2/26,13:30,384.53,384.67,383.51,383.71
2/26,13:25,384.34,384.71,384.34,384.52
2/26,13:20,383.9,384.53,383.89,384.35
2/26,13:15,383.57,384.03,383.37,383.905
2/26,13:10,383.72,383.74,383.34,383.56
2/26,13:05,383.07,383.75,382.67,383.72
2/26,13:00,383.58,383.65,382.68,383.09
2/26,12:55,384.46,384.465,383.44,383.58
2/26,12:50,384.295,384.92,384.01,384.5
2/26,12:45,384.42,384.595,384.05,384.2901
2/26,12:40,384.44,384.63,384.19,384.41
2/26,12:35,384.94,385.1599,384.38,384.44
2/26,12:30,384.7,385.22,384.7,384.9301
2/26,12:25,385.19,385.25,384.57,384.7
2/26,12:20,385.45,385.54,385.02,385.2
2/26,12:15,385.175,385.58,384.9,385.46
2/26,12:10,384.53,385.34,384.45,385.17
2/26,12:05,383.68,384.57,382.95,384.54
2/26,12:00,383.505,383.9,383.24,383.69
2/26,11:55,383.1189,383.51,382.94,383.51
2/26,11:50,383.49,383.62,382.85,383.125
2/26,11:45,383.69,383.83,382.945,383.49
2/26,11:40,384.02,384.23,383.62,383.7
2/26,11:35,383.25,384.19,383.24,384.02
2/26,11:30,381.87,383.43,381.74,383.26
2/26,11:25,381.7,382.33,381.6,381.87
2/26,11:20,382.09,382.22,381.41,381.695
2/26,11:15,382.53,383.07,381.895,382.085
2/26,11:10,383.12,383.33,382.24,382.52
2/26,11:05,383.365,383.73,382.92,383.11
2/26,11:00,382.37,383.48,381.93,383.36
2/26,10:55,382.62,382.79,381.92,382.37
2/26,10:50,382.5,382.95,381.83,382.62
2/26,10:45,381.76,382.76,381.59,382.5125
2/26,10:40,381.4,381.94,380.98,381.75
2/26,10:35,379.23,381.67,378.75,381.4
2/26,10:30,378.49,379.77,378.49,379.21
2/26,10:25,380.265,381.16,378.23,378.53
2/26,10:20,381.07,381.3,380.05,380.26
2/26,10:15,381.12,381.63,380.44,381.08
2/26,10:10,380.69,381.4,380.4401,381.15
2/26,10:05,382.1,382.4,380.61,380.68
2/26,10:00,382.06,382.21,381.17,382.1
2/26,9:55,382.63,382.68,381.91,382.07
2/26,9:50,383.65,383.74,382.59,382.64
2/26,9:45,383.98,384.88,383.42,383.64
2/26,9:40,383.73,384.34,383.3092,383.975
2/26,9:35,383.6,384,383.21,383.74
2/26,9:30,384.35,384.6658,383.49,383.61
2/25,15:55,383.15,383.17,382.28,382.37
2/25,15:50,383.43,383.69,382.52,383.145
2/25,15:45,382.5,383.96,382.37,383.41
2/25,15:40,381.54,382.64,380.98,382.495
2/25,15:35,381.5,381.75,380.7789,381.54
2/25,15:30,382.26,382.88,381.51,381.51
2/25,15:25,382.14,382.88,382.11,382.25
