Time,Open,High,Low,Last
3/22/21 10:35,391.72,391.77,391.43,391.77
3/22/21 10:40,391.78,392.12,391.64,392.08
3/22/21 10:45,392.08,392.44,392.07,392.20
3/22/21 10:50,392.20,392.27,392.12,392.16
3/22/21 10:55,392.15,392.22,392.00,392.06
3/22/21 11:00,392.06,392.26,391.99,392.17
3/22/21 11:05,392.17,392.28,392.13,392.19
3/22/21 11:10,392.20,392.24,391.92,391.98
3/22/21 11:15,391.99,392.02,391.86,391.94
3/22/21 11:20,391.94,392.25,391.92,392.20
3/22/21 11:25,392.21,392.23,392.04,392.13
3/22/21 11:30,392.13,392.49,392.12,392.47
3/22/21 11:35,392.45,392.61,392.38,392.54
3/22/21 11:40,392.54,392.61,392.47,392.57
3/22/21 11:45,392.58,392.60,392.16,392.42
3/22/21 11:50,392.44,392.52,392.38,392.40
3/22/21 11:55,392.40,392.46,392.28,392.37
3/22/21 12:00,392.37,392.64,392.37,392.55
3/22/21 12:05,392.56,392.61,392.42,392.54
3/22/21 12:10,392.54,392.68,392.54,392.66
3/22/21 12:15,392.66,392.71,392.57,392.65
3/22/21 12:20,392.65,392.73,392.61,392.70
3/22/21 12:25,392.71,392.94,392.70,392.93
3/22/21 12:30,392.93,392.98,392.73,392.86
3/22/21 12:35,392.87,392.97,392.81,392.91
3/22/21 12:40,392.92,393.23,392.83,393.22
3/22/21 12:45,393.22,393.23,393.11,393.14
3/22/21 12:50,393.14,393.19,393.00,393.12
3/22/21 12:55,393.12,393.16,393.06,393.15
3/22/21 13:00,393.15,393.18,392.82,392.84
3/22/21 13:05,392.84,392.94,392.78,392.84
3/22/21 13:10,392.84,392.95,392.71,392.92
3/22/21 13:15,392.92,393.07,392.90,393.04
3/22/21 13:20,393.04,393.20,393.01,393.16
3/22/21 13:25,393.16,393.16,392.95,393.02
3/22/21 13:30,393.01,393.18,393.01,393.17
3/22/21 13:35,393.17,393.23,393.05,393.20
3/22/21 13:40,393.20,393.28,393.13,393.23
3/22/21 13:45,393.21,393.31,393.19,393.28
3/22/21 13:50,393.27,393.33,393.23,393.30
3/22/21 13:55,393.30,393.32,393.23,393.31
3/22/21 14:00,393.32,393.41,393.28,393.35
3/22/21 14:05,393.35,393.55,393.33,393.51
3/22/21 14:10,393.51,393.56,393.37,393.40
3/22/21 14:15,393.40,393.52,393.40,393.44
3/22/21 14:20,393.45,393.49,393.22,393.31
3/22/21 14:25,393.31,393.52,393.27,393.48
3/22/21 14:30,393.49,393.84,393.49,393.70
3/22/21 14:35,393.70,393.97,393.61,393.90
3/22/21 14:40,393.89,393.91,393.74,393.79
3/22/21 14:45,393.79,393.87,393.72,393.75
3/22/21 14:50,393.74,393.81,393.64,393.73
3/22/21 14:55,393.73,393.83,393.70,393.76
3/22/21 15:00,393.76,394.07,393.74,393.95
3/22/21 15:05,393.95,393.95,393.76,393.84
3/22/21 15:10,393.84,393.93,393.70,393.72
3/22/21 15:15,393.71,393.75,393.31,393.36
3/22/21 15:20,393.35,393.51,393.21,393.31
3/22/21 15:25,393.32,393.35,393.06,393.10
3/22/21 15:30,393.09,393.25,392.82,392.90
3/22/21 15:35,392.90,392.99,392.82,392.93
3/22/21 15:40,392.93,393.02,392.57,392.78
3/22/21 15:45,392.78,392.84,392.57,392.72
3/22/21 15:50,392.71,392.81,392.39,392.64
3/22/21 15:55,392.65,392.71,392.40,392.55
3/23/21 9:30,391.91,392.00,391.56,391.88
3/23/21 9:35,391.88,392.24,391.74,392.18
3/23/21 9:40,392.18,392.19,391.88,392.10
3/23/21 9:45,392.10,392.22,391.85,392.05
3/23/21 9:50,392.05,392.14,391.79,391.95
3/23/21 9:55,391.96,392.45,391.84,392.44
3/23/21 10:00,392.44,392.68,392.27,392.39
3/23/21 10:05,392.38,392.78,392.24,392.67
3/23/21 10:10,392.67,392.84,392.62,392.72
3/23/21 10:15,392.73,393.00,392.68,392.94
