Time,Open,High,Low,Last,Change,%Chg
6/25/2021 15:30,426.595,427.0943,426.41,426.59,0,0.00%
6/25/2021 15:00,426.55,426.96,426.51,426.59,0.05,0.01%
6/25/2021 14:30,426.39,426.62,426.31,426.54,0.16,0.04%
6/25/2021 14:00,426.26,426.44,426.14,426.38,0.13,0.03%
6/25/2021 13:30,426.17,426.32,425.9511,426.25,0.08,0.02%
6/25/2021 13:00,426.29,426.31,426.04,426.17,-0.1116,-0.03%
6/25/2021 12:30,426.11,426.35,426.09,426.2816,0.1816,0.04%
6/25/2021 12:00,426.2902,426.38,426.08,426.1,-0.2,-0.05%
6/25/2021 11:30,426.31,426.36,426.145,426.3,0.01,0.00%
6/25/2021 11:00,425.9,426.31,425.85,426.29,0.39,0.09%
6/25/2021 10:30,426.36,426.445,425.87,425.9,-0.46,-0.11%
6/25/2021 10:00,425.84,426.48,425.6101,426.36,0.52,0.12%
6/25/2021 9:30,425.9,426.11,425.55,425.84,0.71,0.17%
6/24/2021 15:30,425.02,425.36,424.85,425.13,0.1001,0.02%
6/24/2021 15:00,425.39,425.42,424.97,425.0299,-0.3651,-0.09%
6/24/2021 14:30,425.42,425.55,425.28,425.395,-0.015,0.00%
6/24/2021 14:00,425.13,425.46,425.11,425.41,0.28,0.07%
6/24/2021 13:30,425.05,425.169,424.77,425.13,0.075,0.02%
6/24/2021 13:00,425.2,425.53,424.92,425.055,-0.135,-0.03%
6/24/2021 12:30,424.9691,425.335,424.87,425.19,0.22,0.05%
6/24/2021 12:00,424.7819,425.16,424.76,424.97,0.195,0.05%
6/24/2021 11:30,424.975,425.08,424.62,424.775,-0.195,-0.05%
6/24/2021 11:00,425.01,425.19,424.8,424.97,-0.03,-0.01%
6/24/2021 10:30,425.475,425.53,424.97,425,-0.47,-0.11%
6/24/2021 10:00,424.93,425.47,424.73,425.47,0.55,0.13%
6/24/2021 9:30,424.89,425.29,424.72,424.92,2.2,0.52%
6/23/2021 15:30,423.7,423.73,422.51,422.72,-0.99,-0.23%
